pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist,label
27.242912,18.8,12.0,5547.0,0.9,0.88,499.583,0.0
1.395336,0.76,12.0,5659.0,0.28,0.88,87.9605,1.0
1.39533316,7.91263,12.0,3433.0,0.424658,0.419014,87.9605,1.0
1.3951513,0.879,12.0,3390.0,0.32,0.88,87.9605,1.0
15.3791,1.89,12.0,5659.0,0.336,0.88,232.354,1.0
33.5107,2.14,12.0,5683.0,0.896,0.88,212.292,1.0
33.51569,3.83,12.0,5552.0,0.71,0.88,212.292,1.0
33.5116,2.89,12.0,5659.0,0.875,0.88,212.292,1.0
33.513607,2.47313225,12.0,5628.0,0.857642,0.88,212.292,1.0
33.515399,2.03,12.0,4222.0,0.65,0.88,212.292,1.0
3.96151,1.0,12.0,5659.0,1.08,0.611,257.443,2.0
3.96165,1.48,12.0,5659.0,0.634,0.88,257.443,2.0
6.97251,2.01,12.0,5659.0,0.6252,0.88,239.506,1.0
4.1698,1.04,12.0,5053.0,0.628461,0.802,436.488,2.0
4.16959,1.1,12.0,5659.0,1.08,0.802,436.488,2.0
4.16888,1.41,12.0,5659.0,0.628,0.88,436.488,2.0
12.3389,2.11,12.0,5659.0,0.628,0.88,436.488,1.0
12.339133,2.59,12.0,4751.0,0.73,0.88,436.488,1.0
2.89465,1.75,12.0,5659.0,0.702,0.88,270.109,1.0
3.83794,1.51,12.0,5659.0,0.809,0.88,155.4257,1.0
5.24086,1.46,12.0,5659.0,0.809,0.88,155.4257,1.0
2790.0,12.2,12.0,5100.0,0.93,0.88,409.502,1.0
8.91058,2.8,12.0,5659.0,1.028,0.88,489.318,1.0
28.2692,3.35,12.0,5631.0,1.29,0.88,399.976,1.0
28.270642,2.79,12.0,5545.0,0.9,0.88,399.976,1.0
28.2671,2.94,12.0,5659.0,1.028,0.88,399.976,1.0
28.271761,2.7100633,12.0,5548.0,0.933556,0.88,399.976,1.0
28.2717,7.91263,12.0,5564.0,1.02594,0.98,399.976,1.0
4.73172,1.7,12.0,5659.0,1.028,0.88,399.976,1.0
0.782022,1.58,12.0,5659.0,0.94,0.88,442.991,1.0
0.78214992,1.29,12.0,5144.0,0.79,0.88,442.991,1.0
15.4769,2.89,12.0,5659.0,0.66,0.88,357.007,1.0
6.4498648,2.63,12.0,5395.0,0.85,0.88,365.788,1.0
6.45027,2.29,12.0,5659.0,0.894,0.88,365.788,1.0
1.19478,1.65,12.0,3671.0,0.235,0.88,303.404,0.0
4.622654,7.91263,12.0,4786.0,0.7,0.88,2140.25,0.0
1.5771832,33.4,12.0,8210.0,1.94,0.88,273.796,0.0
1.57753,26.0,12.0,7747.0,1.93,0.88,273.796,0.0
3.262038,7.91263,12.0,10318.0,5.27397,0.88,2085.72,1.0
4.4654,45.0,12.0,5659.0,2.3,0.88,917.554,1.0
21.140574,31.5,12.0,6205.0,1.29,0.88,1800.02,1.0
5.74372,7.91263,12.0,5659.0,1.08,0.88,6091.77,1.0
3.2923818,19.6,12.0,7824.0,1.87,0.88,4958.48,1.0
6.90487,53.0,12.0,6599.0,1.45,0.88,2183.17,1.0
6.905053,7.91263,12.0,5659.0,1.08,0.88,2183.17,1.0
6.9055211,33.6,12.0,6722.0,1.89,0.88,2183.17,1.0
1.696374,35.3,12.0,5659.0,1.793,0.88,2257.74,1.0
3.046136,76.0,12.0,5659.0,1.698,0.88,264.567,1.0
3.0459383,19.0,12.0,5529.0,0.89,0.88,264.567,1.0
3.04622,29.0,12.0,5529.0,0.89,0.88,264.567,1.0
3.23792,7.91263,12.0,4500.0,0.639668,0.707,127.188,1.0
3.238542,1.67,12.0,4446.0,0.69,0.88,127.188,1.0
3.2367,1.58,12.0,4863.0,0.74,0.88,127.188,1.0
6.2719092,60.0,12.0,7254.0,1.81,0.88,2668.14,1.0
23.7782,98.0,12.0,7498.0,2.09,0.88,401.292,0.0
1.42636,6.66,12.0,5659.0,4.28,0.88,1062.67,1.0
3.979287,37.5,12.0,7430.0,1.84,0.88,713.075,1.0
2.1417519,86.2,12.0,6492.0,1.59,0.88,471.459,1.0
2.86136,7.91263,12.0,3697.0,0.50129,0.499329,161.444,1.0
3.10622,7.91263,12.0,3636.0,0.501135,0.499177,182.319,1.0
1.814553,7.91263,12.0,4618.0,10.0566,0.88,3901.1,1.0
17.1541,7.91263,12.0,4930.0,16.1325,0.88,6475.27,1.0
12.1507,1.48,12.0,5659.0,0.83,0.88,138.859,1.0
2.4343734,61.4,12.0,5568.0,0.9,0.88,701.156,1.0
1.8490876,17.3,12.0,5693.0,0.96,0.88,502.407,1.0
2.620724,11.7,12.0,6013.0,1.14,0.88,419.286,1.0
2.620799,37.0,12.0,5659.0,1.725,0.88,419.286,1.0
2.62077,58.0,12.0,6302.0,1.4,0.88,419.286,1.0
1.314437,3.09990986,12.0,6009.0,1.472064,0.88,391.428,1.0
1.3144014,2.78,12.0,6137.0,1.23,0.88,391.428,1.0
4.8045244,3.62,12.0,6187.0,1.28,0.88,704.55,1.0
6.14818,7.91263,12.0,6591.31,2.29043,0.88,367.29,1.0
1.49761,7.91263,12.0,5659.0,1.08,0.88,287.802,1.0
6.479656,3.33165021,12.0,5586.0,0.921539,0.88,433.512,1.0
6.48167,3.46,12.0,5659.0,0.922,0.88,433.512,1.0
6.4804111,3.39,12.0,5537.0,0.89,0.88,433.512,1.0
2.8445331,65.3,12.0,6045.0,1.16,0.88,304.179,1.0
0.6687,2.22,12.0,5659.0,1.942,0.88,236.832,1.0
13.3461,42.0,12.0,5659.0,2.575,0.88,724.25,1.0
4.13737,24.5,12.0,5659.0,1.03,0.88,680.973,1.0
4.1376047,7.33,12.0,4581.0,0.7,0.88,680.973,1.0
2.469851,6.6,12.0,5659.0,1.479,0.88,252.6583,1.0
0.690458,7.91263,12.0,6912.12,1.50882,0.88,459.014,1.0
0.689647,6.58,12.0,6481.0,1.08,0.88,459.014,1.0
4.1687922,16.1,12.0,6005.0,1.14,0.88,337.891,1.0
21.17051,81.0,12.0,5659.0,2.536,0.88,764.195,1.0
5.31937553733,19.66846395,12.0,6350.0,2.36934,0.88,835.907,1.0
5.319075,20.0,12.0,5659.0,2.28,0.88,835.907,1.0
12.86772,71.0,12.0,6861.0,1.79,0.88,760.324,0.0
12.866412,61.0,12.0,5659.0,1.642,0.88,760.324,0.0
12.866539,22.3,12.0,6066.0,1.18,0.88,760.324,0.0
1.8461222,19.5,12.0,7536.0,1.82,0.88,1120.21,0.0
1.84617,2.14,12.0,3252.0,0.21,0.88,1120.21,0.0
6.6223,7.91263,12.0,5000.0,5.54598,0.88,3649.9,1.0
0.5217136,452.0,12.0,5659.0,11.27,0.88,1383.32,1.0
11.975818,8.43,12.0,3320.0,0.28,0.88,1565.84,1.0
11.97495,256.0,12.0,5200.0,3.4,0.88,1565.84,1.0
5.9895,2.04,12.0,5659.0,1.03,0.88,144.192,1.0
28.707623,21.2,12.0,5838.0,1.03,0.88,603.858,1.0
15.4715,9.2,12.0,5791.0,1.89,0.88,427.205,1.0
15.465691,4.13,12.0,4989.0,0.76,0.88,427.205,1.0
15.466674,16.12109089,12.0,5807.0,1.231429,0.88,427.205,1.0
1.4556637,7.91263,12.0,6520.0,1.84406,1.341,462.95,1.0
1.45556515,71.0,12.0,5659.0,2.043,0.88,462.95,1.0
3.3262396,1.16,12.0,3404.0,0.33,0.88,4791.68,1.0
3.32592848,7.91263,12.0,4017.0,60.6949,0.88,4791.68,1.0
3.3255,1080.0,12.0,5659.0,85.0,0.88,4791.68,1.0
13.1426,200.0,12.0,5659.0,13.9,0.88,3363.81,1.0
4.474513,8.16881084,12.0,6081.0,2.221057,0.88,696.124,1.0
4.4743465,3.06,12.0,5248.0,0.81,0.88,696.124,1.0
4.47471,22.0,12.0,5659.0,2.486,0.88,696.124,1.0
2.1989041,46.6,12.0,4938.0,0.75,0.88,264.78,1.0
4.1657292,1.86,12.0,3442.0,0.36,0.88,9319.51,1.0
0.6308,7.91263,12.0,5659.0,1.08,0.88,264.78,0.0
0.2358684,6.1,12.0,5659.0,1.792,0.88,349.365,1.0
12.99109,43.0,12.0,5659.0,4.5,0.88,264.78,1.0
1.7359447,1.89,12.0,5354.0,0.84,0.88,880.659,1.0
1.8389349,0.837,12.0,3930.0,0.58,0.88,35.4342,1.0
1.83916,0.62,12.0,5659.0,0.48,0.88,35.4342,1.0
2.032664,1.92,12.0,5659.0,0.535,0.88,111.941,1.0
6.11706,1.76,12.0,5659.0,0.535,0.88,111.941,1.0
1.859017,64.0,12.0,6842.0,2.03,0.88,601.432,1.0
1.85872487,7.91263,12.0,6015.0,2.01889,1.11,601.432,1.0
1.8590179,30.5,12.0,6244.0,1.33,0.88,601.432,1.0
540.0,5.7,12.0,5200.0,0.94,0.88,511.443,1.0
4.622654,12.81,12.0,5659.0,1.947,0.88,511.443,1.0
1.4408,7.91263,12.0,4154.0,1.58859,0.88,157.614,0.0
0.841202,82.0,12.0,6237.0,2.31,0.88,523.657,0.0
0.8411257,0.884,12.0,4289.0,0.66,0.88,676.494,1.0
0.17566,3.11,12.0,6620.0,1.15,0.88,555.171,1.0
29.33873041,7.91263,12.0,3171.0,0.528528,0.525532,148.374,1.0
22.7984,9.0,12.0,6195.0,1.37,0.88,264.78,0.0
1.68027,2.9,12.0,5659.0,1.275,0.88,247.386,1.0
2.54427583,7.91263,12.0,8188.0,3.23826,2.003,354.001,1.0
0.7099504,80.0,12.0,5659.0,2.065,0.88,685.821,1.0
1.8204,7.91263,12.0,3112.0,0.5139,0.511624,161.737,0.0
2.809,7.91263,12.0,2901.0,0.474383,0.472176,166.168,0.0
1.404411,99.0,12.0,6933.0,2.02,0.88,166.168,0.0
1.4044283,3.66,12.0,2721.0,0.12,0.88,166.168,0.0
3.400858,14.1,12.0,5659.0,0.983,0.88,279.968,1.0
3.4007758,5.57,12.0,5520.0,0.89,0.88,279.968,1.0
