pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_logg,st_loggerr1,st_loggerr2,st_met,st_meterr1,st_meterr2,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,disc_year,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,method_Transit,method_Radial Velocity,method_Microlensing,pl_density,orbital_velocity_proxy,star_planet_ratio,label
28.1696,0.0038,-0.0043,2.2,0.54,-0.3,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.374,0.089,-0.035,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,2019.0,0.334,0.0,0.0,0.0,0.0,1,0,0,1.1269722013523662,0.17674657060750965,0.16999999999999998,2
7.90417,0.00091,-0.00148,2.06,0.53,-0.56,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.374,0.089,-0.035,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,1.3727124890297393,0.3336669564310557,0.18155339805825244,1
7.9069606,0.0,0.0,3.02,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3772.0,0.0,0.0,0.52,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.4356727702485455,0.33360807077156296,0.17218543046357615,1
1.0829614,0.0,0.0,1.56,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3875.0,0.0,0.0,0.56,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,299.406,4.528,-4.398,15.657,0.355,-0.355,12.282,0.024,-0.024,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,3.1608759419410304,0.901435894594958,0.358974358974359,1
0.905655,4.9e-05,-5e-05,1.57,0.16,-0.26,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.576,0.04,-0.028,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,190.075,1.555,-1.555,15.731,0.446,-0.446,11.735,0.026,-0.026,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,3.1008609281962056,0.985734465244954,0.3668789808917197,1
0.90552205,0.0,0.0,1.52,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3710.0,0.0,0.0,0.5,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,190.075,1.555,-1.555,15.731,0.446,-0.446,11.735,0.026,-0.026,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,3.4170433007727072,0.985806826037906,0.32894736842105265,1
2.7541129,0.0,0.0,4.87,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3834.0,0.0,0.0,0.55,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.10389493181734928,0.5652628792988887,0.11293634496919919,1
2.75421,0.00012,-0.00012,8.4,1.2,-6.8,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.89,0.063,-0.01,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.020246193715581468,0.5652529150061604,0.10595238095238095,1
2.75391,0.00015,-0.00015,3.78,0.68,-0.68,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3918.0,46.0,-46.0,0.436,0.027,-0.027,0.88,0.0,0.0,4.846,0.05,-0.05,-0.01,0.0,0.0,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.22218045229719038,0.5652837023696768,0.11534391534391535,1
50.285869,0.0,0.0,3.47,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,4859.0,0.0,0.0,0.74,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,829.248,29.0795,-29.0795,11.668,0.033,-0.033,9.368,0.023,-0.023,2015.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.2872055458050602,0.13228736204882202,0.2132564841498559,0
